standardized_smiles,odor_2,odor_3,odor_4,odor_5,odor_6,odor_7,odor_8,odor_9,odor_10,odor_11,odor_12,odor_13,odor_14,odor_15,odor_16,odor_17,odor_18,odor_19,odor_20,odor_21,odor_22,odor_23,odor_24,odor_25,odor_26,odor_27,odor_28
BrC=Cc1ccccc1,Green,Hyacinth,Leafy,,,,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(O)CCC=C(C)C,Woody,Dry,Waxy,Musk,Ambrette,Sweet,,,,,,,,,,,,,,,,,,,,,
C#CC1(OC(C)=O)CCCCC1,Woody,Dry,Nutty,Hay,Herbal,Leafy,Natural,Immortelle,,,,,,,,,,,,,,,,,,,
C#CC1(OC(C)=O)CCCCC1C(C)CC,Woody,Guaiacwood,Dry,Amber,,,,,,,,,,,,,,,,,,,,,,,
C#CCO,Floral,Geranium,,,,,,,,,,,,,,,,,,,,,,,,,
C(=CC1OCCO1)c1ccccc1,Warm,Cinnamyl,Spices,Allspice,,,,,,,,,,,,,,,,,,,,,,,
C12=C3C4C1=C1C2C3C14,Fruity,Spices,Mango,,,,,,,,,,,,,,,,,,,,,,,,
C1=CC2COCC2CCCCCCCC1,Earthy,Animal,Musk,Natural,Musty,,,,,,,,,,,,,,,,,,,,,,
C1=CCOC=C1,Smokey,,,,,,,,,,,,,,,,,,,,,,,,,,
C1=NCCC1,Sea,Food,Ammonia,Shrimp,,,,,,,,,,,,,,,,,,,,,,,
C1CC2C3CC(C2C1)C1(CCCO1)C3,Grapefruit,Citrus,Rhubarb,Vetiver,Floral,Gardenia,Fresh,,,,,,,,,,,,,,,,,,,,
C1CCC(SSC2CCCCC2)CC1,Nutty,Onion,Clam,Eggs,Alliaceous,Food,Sea,Coffee,,,,,,,,,,,,,,,,,,,
C1CCCC2(CCC1)CCCO2,Woody,Animal,Moth Balls,Cistus,Saffron,,,,,,,,,,,,,,,,,,,,,,
C1CCCCCC2COCC2CCCC1,Woody,Dry,Amber,Warm,Old wood,,,,,,,,,,,,,,,,,,,,,,
C1CCNC1,Animal,Eggs,Fishy,Alkane,Weed,Sea,Ammonia,,,,,,,,,,,,,,,,,,,,
C1CCNCC1,Animal,Fishy,Floral,Sweet,Ammonia,,,,,,,,,,,,,,,,,,,,,,
C1CCSC1,Cabbage,Sulphurous,Stench,,,,,,,,,,,,,,,,,,,,,,,,
C1CNCCN1,Ammonia,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CSCCS1,Mushroom,Onion,Clam,Sea,Fishy,Food,Garlic,Fermented,Sulphurous,Turkey,Solvent,Pyridine,Oyster,,,,,,,,,,,,,,
C1CSCS1,Sulphurous,Sweet,Onion,Cooked,,,,,,,,,,,,,,,,,,,,,,,
C1CSCSC1,Roasted,Alliaceous,,,,,,,,,,,,,,,,,,,,,,,,,
C1SCSS1,Mushroom,Roasted,Garlic,Sulphurous,Beefy,,,,,,,,,,,,,,,,,,,,,,
C1SSCSSS1,Mushroom,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C(C)C(C)O)C(C)C(C)(C)C,Woody,Dry,Vetiver,Amber,Clean,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(=O)OC,Acrylic,Fruity,Aromatic,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(=O)OCC,Apple,Acrylic,Camomile,Pungent,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(CC(=O)O)CC(=O)O,Savory,Roasted,Cooked,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(CCC(C)=O)CC(=O)O,Floral,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(CO)CC=C(C)C,Floral,Herbal,Mimosa,Waxy,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(O)CCC(C)CCO,Rose,Floral,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1=CC=C(C)CC1,Woody,Tropical,Terpenic,Cool,Turpentine,Pine,Herbal,Thyme,Camphor,Oily,Chemical,,,,,,,,,,,,,,,,
C=C(C)C1C=C2C(C)CCC2C(C)CC1,Earthy,Moldy,Musty,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1C=CC(C)(O)CC1,Fresh,Minty,Terpenic,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1C=CC(C)=CC1,Roasted,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1C=CC2=CC(=O)CC(C)C2(C)C1,Grapefruit,Tropical,Citrus,Fruity,Juicy,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CC(=O)C2(C)OC2C1,Spices,Spearmint,Sweet,Caraway,Minty,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CC=C(C)C(=O)C1,Spices,Green,Herbal,Spearmint,Fennel,Camphor,Basil,Sweet,Minty,Bready,Caraway,Licorice,,,,,,,,,,,,,,,
C=C(C)C1CC=C(C)C(O)C1,Spices,Herbal,Spearmint,Fresh,Minty,Solvent,Caraway,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CC=C(C)C(OC(=O)CC)C1,Fruity,Warm,Minty,Sweet,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CC=C(C)C(OC(C)=O)C1,Green,Herbal,Spearmint,Fruity,Sour,Sweet,Minty,,,,,,,,,,,,,,,,,,,,
